id,name,url,verdict,pros,cons,Audience score,Price,Pace,Shock absorption,Energy return,Traction,Arch support,Weight Lab,Weight Brand,Lightweight,Drop Lab,Drop Brand,Strike pattern,Size,Midsole softness,Difference in midsole softness in cold,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Plate,Rocker,Heel Lab,Heel Brand,Forefoot Lab,Forefoot Brand,Widths available,Orthotic friendly,Season,Removable insole,Ranking,Popularity
. Non-gusseted tongue",89 Great!,"₩308,340",Daily running,146 SA,60.20%,0.45,Neutral,303g,297g,N,9.1 mm,5.0 mm,HeelMid/forefoot,True to size,43.0 AC,20%,4/5,5/5,0.9 mm,3/5,94.1 mm,72.5 mm,16.5N,4/5,3/5,N,Y,41.3 mm,43.0 mm,32.2 mm,38.0 mm,NarrowNormal/Wide/X-Wide,Y,All seasons,Y,#97Top 25%,#1Top 1%

3,Adidas Adizero EVO SL,https://runrepeat.com/adidas-adizero-evo-sl,"We really believe that the Adidas Adizero EVO SL has the potential to transform the running shoe industry. Priced like a daily trainer, it features a 100% Lightstrike Pro midsole and world-class Continental outsole. On top of that, we found it lightweight, well-cushioned, sleek-looking and excellent for a wide range of paces and distances. While the short tongue and horrible laces left room for improvement, the EVO SL delivers a hard-to-believe mix of value, versatility and performance.","100% Lightstrike Pro superfoam
. Exceptional value-to-performance ratio
. Low weight
. Ultra-breathable upper
. Unmatched versatility
. Agile and fun ride
. Handles short and long runs with ease
. Striking Evo 1-inspired aesthetics","Poor-quality laces
. Short, non-gusseted tongue
. Toebox durability",93 Superb!,"₩256,950",Daily running/Tempo,147 SA,74.30%,0.4,Neutral,223g,224g,Y,8.0 mm,6.5 mm,HeelMid/forefoot,True to size,43.5 AC,13%,1/5,5/5,0.6 mm,5/5,97.5 mm,71.6 mm,9.8N,4/5,3/5,N,Y,36.1 mm,38.5 mm,28.1 mm,32.0 mm,Normal/Wide,Y,Summer/All seasons,Y,#4Top 2%,#11Top 3%

4,ASICS Novablast 5,https://runrepeat.com/asics-novablast-5,"The Novablast 5 takes ASICS’ best-seller to new heights—literally and figuratively. We found it lighter, softer, and bouncier, with improved flexibility and a more responsive feel underfoot. The price remains unchanged, offering excellent value with significant updates. While traction remains its weakest aspect, the ride is undeniably fun and surprisingly stable, making it a perfect choice for runners craving a blend of plush cushioning, versatility, and comfort.","Improved energy return with FF Blast MAX foam
. Plushiest foam in a Novablast yet
. Keeps the same price as v4
. Higher stack height for extra cushioning
. Enhanced flexibility
. Lighter than its predecessor
. Best Novablast ever for wide feet
. Exceptional weight-to-cushion balance
. Works for short, medium and long runs","Breathability could be improved
. Toebox durability",92 Superb!,"₩257,060",Daily running/Tempo,141 SA,63.60%,0.53,Neutral,254g,255g,N,7.4 mm,8.0 mm,Mid/forefoot,True to size,30.3 AC,42%,1/5,3/5,0.9 mm,3/5,97.5 mm,74.4 mm,11.2N,4/5,3/5,N,Y,40.9 mm,41.5 mm,33.5 mm,33.5 mm,Normal/Wide,Y,All seasons,Y,#10Top 3%,#6Top 2%

5,Nike Vomero 18,https://runrepeat.com/nike-vomero-18,"The Vomero 18 received a much-needed, full-scale overhaul to match today’s trend of max-cushioned trainers. We found it now delivers more foam underfoot and step-in comfort than ever, paired with a rare price drop we all appreciate. However, it’s not all good news—it also packed on extra weight, became noticeably less flexible, and its grip still trails behind the competition.","Amazing step-in feel
. First max-stack Vomero
. Price drop from v17!
. Superb cushioning
. Ideal for recovery runs
. Ideal for heel strikers
. Still quite stable despite its size
. Comfortable upper","Needs to lose some weight
. Narrow toebox
. Lacks agility for faster paces
. Grip could be better",91 Superb!,"₩257,060",Daily running,147 SA,56.90%,0.38,Neutral,298g,325g,N,13.9 mm,10.0 mm,Heel,True to size,30.5 AC,13%,3/5,5/5,1.1 mm,3/5,95.6 mm,69.6 mm,16.0N,4/5,3/5,N,Y,42.5 mm,45.0 mm,28.6 mm,35.0 mm,Normal/Wide/X-Wide,Y,All seasons,Y,#23Top 6%,#7Top 2%

6,Hoka Clifton 10,https://runrepeat.com/hoka-clifton-10,"The Hoka Clifton 10 took nearly two and a half years to arrive—a long stretch compared to the yearly cycles of some competitors. Yet despite its familiar looks, we discovered a full overhaul under the hood. Hoka raised the stack to maximalist levels, widened the toebox, and increased the drop to favor heel strikers. There are downsides too, as the weight gain, outdated foam, and flatter ride make it less lively than before. Still, for comfort-seekers chasing a stable, everyday option, it remains a solid pick that’s likely to sell fast once again.","Superb joint protection
. Wider toebox improves toe splay
. Comfortable upper
. Stable ride despite its high stack height
. Works well for heel strikers
. Ideal for long runs
. Versatile for daily walking or jogging
. Achilles-friendly heel collar design
. Traction improvements","Needs a better foam ASAP
. Notable weight gain from v9
. Feels more Bondi than Clifton
. Non-gusseted tongue",88 Great!,$150,Daily running,147 SA,52.30%,0.49,Neutral,275g,277g,N,12.4 mm,8.0 mm,Heel,True to size,34.2 AC,19%,4/5,5/5,1.0 mm,3/5,97.2 mm,73.1 mm,14.7N,5/5,3/5,N,Y,44.4 mm,42.0 mm,32.0 mm,34.0 mm,NarrowNormal/Wide/X-Wide,Y,All seasons,Y,#119Top 31%,#2Top 1%

7,New Balance Fresh Foam X More v6,https://runrepeat.com/new-balance-fresh-foam-x-more-v-6,"The Fresh Foam X More v6 continues New Balance’s formula of cloud-soft cushioning and a super-thick midsole offered at a fair price. We found that it truly shines on recovery days and easy jogs, although it can also handle long runs if you don't push the pace. The fit remains snug in standard width and the weight is heavier than we’d prefer, but for those seeking a comfort-first ride with tons of foam underfoot, this shoe is hard to beat.","Record-breaking shock absorption
. Wide platform ensures stability
. Super-plush foam
. Improved energy return
. Cozy upper
. No price hike this year
. Ideal for forefoot strikers
. Solid durability
. Semi-gusseted tongue for secure lockdown
. Good torsional flexibility despite its size","Narrow, low-volume interior fit
. Still a heavy shoe
. Weak airflow
. Low drop doesn't work for everyone",88 Great!,"₩291,330",Daily running,152 SA,60.10%,0.44,Neutral,302g,306g,N,3.3 mm,4.0 mm,Mid/forefoot,True to size,27.5 AC,68%,3/5,4/5,0.8 mm,2/5,93.5 mm,71.3 mm,17.7N,3/5,3/5,N,N,41.8 mm,44.0 mm,38.5 mm,40.0 mm,NarrowNormal/Wide/X-Wide,Y,All seasons,Y,#126Top 33%,#3Top 1%

8,Nike Vomero Premium,https://runrepeat.com/nike-vomero-premium,"The Vomero Premium shows just how far Nike is willing to go in the name of innovation and hype. In our lab, we found that its colossal stack height and ultra-plush ZoomX foam deliver unmatched cushioning, yet the shoe feels undeniably bulky and slow. Despite all the buzz, our data showed it falls short of the ""Alter G"" sensation the brand promised as a breakthrough. From our perspective, this model makes little sense from a practical standpoint, but if you want a running shoe that looks and feels like it came from another planet, Nike just made it possible.","Record-breaking shock absorption
. Massive 50+ mm stack height
. Cozy upper from heel to toe
. Surprisingly good grip
. Ultra-plush ZoomX foam
. Perfect for recovery days
. Solid durability
. Impressively stable for heel strikers
. Out-of-this-world aesthetics","Lower energy return than expected
. Limited versatility
. High price tag
. Tapered toebox restricts toe splay",90 Superb!,"₩394,160",Daily running,173 SA,63.30%,0.51,Neutral,326g,351g,N,8.8 mm,10.0 mm,HeelMid/forefoot,True to size,34.5 AC,24%,3/5,5/5,0.7 mm,3/5,94.6 mm,68.6 mm,21.5N,5/5,4/5,N,Y,50.1 mm,55.0 mm,41.3 mm,45.0 mm,Normal/,Y,All seasons,Y,#34Top 9%,#8Top 3%

9,Brooks Glycerin Max,https://runrepeat.com/brooks-glycerin-max,"The Glycerin Max is Brooks’ ambitious response to the rise of ultra-cushioned running shoes. We found it truly provides cloud-like comfort underfoot, protecting your muscles and joints with its innovative DNA Tuned midsole. We also found that the plush, breathable upper offers a premium, glove-like fit—though this luxurious feel comes at a cost in terms of price and weight, both being higher than we hoped.","Massive impact dampening
. Luxurious yet breathable upper
. New DNA Tuned midsole
. Eye-catching look
. Surprisingly stable
. Can be used as a walking shoe
. Premium materials","Too heavy
. Midsole lacks bounce
. Poor rubber coverage
. High price tag",89 Great!,"₩342,600",Daily running,148 SA,52.00%,‐,Neutral,305g,309g,N,6.6 mm,6.0 mm,Mid/forefoot,True to size,31.9 AC,17%,3/5,4/5,1.2 mm,5/5,94.5 mm,74.3 mm,18.3N,4/5,3/5,N,Y,42.3 mm,47.0 mm,35.7 mm,41.0 mm,Normal/,Y,Summer/All seasons,Y,#102Top 27%,#9Top 3%

10,Nike Pegasus 41,https://runrepeat.com/nike-pegasus-41,"Nike's updates can be unpredictable, but we can confidently say that the Pegasus 41 is a standout. We were particularly impressed by its features for heel strikers, enhanced by the new plush foam and rockered sole. The shoe maintains its renowned durability too. And despite the $10 price increase, we believe it's justified and well worth it. At the end of the day, although it's been quite some time since 1982—I wasn't even born then!—the Pegasus series is still kicking, and for good reason.","Enhanced for heel strikers
. New ReactX foam!
. Improved breathability
. Plush upper
. Good durability
. Several stability enhancements
. Newly designed rocker and bevel
. Solid performance
. Superior lockdown
. Sustainable features","Price increased by $10
. Worse than the v40 in cold temperatures
. Poor grip",88 Great!,"₩239,920",Daily running,125 SA,55.50%,0.25,Neutral,281g,283g,N,11.4 mm,10.0 mm,Heel,True to size,35.2 AC,37%,3/5,4/5,0.9 mm,4/5,94.6 mm,72.9 mm,9.4N,2/5,4/5,N,N,33.6 mm,37.0 mm,22.2 mm,27.0 mm,Normal/Wide/X-Wide,Y,All seasons,Y,#120Top 31%,#10Top 3%

11,New Balance Fresh Foam X More v5,https://runrepeat.com/new-balance-fresh-foam-x-more-v5,"The New Balance Fresh Foam X More v5 has an endless name matched by its endless cushioning, finally making it a true maximalist running shoe. We were impressed by its eye-popping design that not only accommodates its size but also enhances stability despite its ultra-plush midsole. We also liked its comfortable upper during our runs. On the downside, the foam offered low energy return, and we noticed that the toebox was overly tapered and needs more volume.","Exceptional all-around comfort
. Ultra-plush cushioning
. Ideal for slow long runs
. Great cushion-to-price ratio
. Remarkable stability for its size
. Superb lockdown
. Durable and high-grip outsole
. Well-designed rocker geometry
. Lots of improvements from v4
. Dependable grip","Heavier than its predecessor
. Snug fit
. Maybe even too plush!
. A bit stiff for casual wear",87 Great!,$155,Daily running,156 SA,53.60%,0.55,Neutral,308g,303g,N,7.8 mm,4.0 mm,Mid/forefoot,Slightly small,25.9 AC,37%,3/5,3/5,0.7 mm,5/5,93.2 mm,70.7 mm,18.1N,4/5,4/5,N,Y,42.1 mm,43.0 mm,34.3 mm,39.0 mm,Normal/Wide/X-Wide,Y,Summer/All seasons,Y,#310Top 45%,#6Top 1%

12,Brooks Ghost Max,https://runrepeat.com/brooks-ghost-max,"The Brooks Ghost Max is like the regular Ghost but on steroids, offering a skyscraper-high midsole combined with a stable ride, especially for heel strikers. In our tests, we were impressed with its performance on long runs and easy days. And despite its substantial size, it's still surprisingly lightweight. The upper is really comfortable and it's well-ventilated, though it does fall short in durability and lacks a gusseted tongue. However, these are minor quibbles in what we found to be an excellent, fairly-priced maximalist option from Brooks, capable of devouring miles with ease.","Exceptionally cushioned
. Impressively lightweight for its size
. Extremely comfortable
. Remarkably stable
. Durable outsole with long-lasting performance
. A genuine maximalist version of the Ghost
. Reasonably priced at $150
. Offered in three width options","Tongue is not fixed to the sides
. Lacks energy return
. Not very flexible",91 Superb!,"₩274,200",Daily running,137 SA,55.40%,0.48,Neutral,291g,286g,N,9.5 mm,6.0 mm,HeelMid/forefoot,True to size,28.0 AC,50%,1/5,4/5,0.5 mm,4/5,91.9 mm,75.9 mm,21.3N,4/5,4/5,N,Y,39.8 mm,38.0 mm,30.3 mm,32.0 mm,Normal/Wide/X-Wide,Y,All seasons,Y,#30Top 5%,#24Top 4%

13,Hoka Clifton 9,https://runrepeat.com/hoka-clifton-9,"While you’d be forgiven to think that Clifton’s popularity is just the result of TikTok hype, we argue that there’s a deep-rooted heritage behind this reliable daily workhorse. This updated ninth edition is a masterclass in how not to mess with success, and we think it's the right approach. It’s now snappy, better fitting, and more fun—it's just a better shoe overall. Underneath, however, is still that unmistakably Clifton feel that we know and love.","Thicker and more energetic midsole cushioning
. Lighter than the v8
. Easy on the knees
. Durable upper
. Available in wide
. Mild, unobtrusive stability elements
. Best for easy days and long runs","Snug fit
. Not enough bounce from EVA foam
. Average breathability
. Grip needs improvement",86 Good!,"₩257,060",Daily running,127 SA,53.00%,0.33,Neutral,249g,249g,Y,6.1 mm,5.0 mm,Mid/forefoot,True to size,40.5 AC,18%,‐,‐,‐,3/5,92.2 mm,68.9 mm,17.7N,4/5,5/5,N,Y,32.7 mm,32.0 mm,26.6 mm,27.0 mm,NarrowNormal/Wide,Y,All seasons,Y,#399Bottom 42%,#5Top 1%

14,New Balance Fresh Foam X 1080 v14,https://runrepeat.com/new-balance-fresh-foam-x-1080-v14,"New Balance set out to enhance stability in the Fresh Foam X 1080 v14, but in our tests, this came at the cost of noticeable weight gain—a step back from its predecessor. We also found the tapered toebox restrictive and less comfortable for walking. However, the shoe impressed us with its exceptional durability, highly breathable and premium upper, and increased stack height, making it an excellent choice for easy runs and recovery jogs.","Amazing step-in feel
. Excellent durability
. Cloud-soft midsole
. Ideal for forefoot and midfoot strikers
. Perfect for recovery runs
. Airy upper
. Fairly priced for a premium daily trainer
. Stability improvements","Noticeable weight increase
. Tapered toebox limits toe splay
. Midsole could be too soft for some
. Lacks energy return",86 Good!,"₩325,610",Daily running,142 SA,58.00%,0.52,Neutral,285g,298g,N,4.2 mm,6.0 mm,Mid/forefoot,True to size,28.5 AC,26%,4/5,3/5,0.6 mm,4/5,95.4 mm,69.8 mm,15.8N,4/5,4/5,N,Y,37.0 mm,38.0 mm,32.8 mm,32.0 mm,NarrowNormal/Wide/X-Wide,Y,All seasons,Y,#376Bottom 46%,#7Top 2%

15,Nike Vaporfly 4,https://runrepeat.com/nike-vaporfly-4,"We believe the Vaporfly 4 is a smart update, but not the groundbreaking reinvention some runners might have expected from Nike. After testing it in the lab and pounding the roads, we loved its feather-light construction, the much-improved fit that fixes the annoying tongue from the v3, and the upgrades in the upper and outsole. However, runners hoping for a major boost in performance will likely be disappointed—it’s simply a smoother, more refined Vaporfly that borrows a few ideas from the Alphafly but won’t magically slash your race times, feeling now more natural and better suited for shorter distances.","13% lighter than the Vaporfly 3
. Awesome for 5K, 10K and 21K races
. Full ZoomX midsole
. Spring-loaded carbon-fiber Flyplate
. Fantastic lockdown with premium laces
. Moderate rocker for a more natural ride
. Improved perforated, removable insole
. Better rubber coverage in the forefoot
. Gets improvements from the Alphafly 3
. Great upper featuring breathability and durability","Less ideal for marathon racing
. Still lacks the snappy feel of the Vaporfly 1&2
. Narrow midfoot and heel limit stability",91 Superb!,"₩445,570",Competition,137 SA,78.10%,0.45,Neutral,166g,184g,Y,8.6 mm,6.0 mm,Mid/forefoot,True to size,34.7 AC,1%,4/5,3/5,8.6 mm,4/5,91.7 mm,73.2 mm,18.0N,4/5,2/5,Carbon plate,N,34.1 mm,35.0 mm,25.5 mm,29.0 mm,Normal/Wide,Y,All seasons,Y,#32Top 9%,#20Top 6%

16,Brooks Adrenaline GTS 24,https://runrepeat.com/brooks-adrenaline-gts-24,"The Brooks Adrenaline GTS 24 remains one of the easiest recommendations for heel strikers needing stability, and after testing it, we’re convinced it’s more refined than ever. It keeps its reputation as an ultra-reliable trainer while introducing key upgrades like the DNA Loft v3 midsole, which offers a firmer yet more responsive feel. We found that the revamped upper strikes a great balance between comfort and breathability, making it a fantastic choice for daily miles. However, the firmer foam and steep drop won’t suit everyone, but for most runners with stability needs, it’s a no-brainer.","Stack height upgrade!
. Reliable support
. Breathable mesh with oversized vents
. Price remains unchanged
. Available in 4 width options
. Good durability
. Plush tongue for top comfort
. Ideal for heel strikers
. Foam upgrade to DNA Loft v3","Firmer-than-expected midsole
. High drop may feel too steep
. Toebox height is a bit low
. Non-gusseted tongue",85 Good!,$140,Daily running,121 SA,54.60%,0.48,Stability,291g,283g,N,13.5 mm,12.0 mm,Heel,Slightly small,44.1 AC,24%,3/5,4/5,0.8 mm,4/5,95.1 mm,73.7 mm,10.1N,4/5,4/5,N,N,39.0 mm,39.0 mm,25.5 mm,27.0 mm,NarrowNormal/Wide/X-Wide,Y,All seasons,Y,#210Bottom 46%,#5Top 2%

17,Brooks Glycerin 22,https://runrepeat.com/brooks-glycerin-22,"The Glycerin 22 remains an easy recommendation for those seeking a durable, comfort-loaded daily trainer. In our lab tests, we found that Brooks refined the formula with an upgraded DNA Tuned foam, a higher stack height, and an ultra-breathable upper—all while preserving stability. However, it’s not all bells and whistles, as we found that version 22 is heavier, pricier, and stiffer than before, which may not appeal to everyone.","DNA Tuned improves shock absorption
. Stable ride
. Highly-breathable upper
. Increased stack height
. All-around comfort
. First-class durability
. Perfect for everyday miles
. Awesome for heel strikers
. Great as an everyday shoe","Needs to lose some weight
. Low toebox height
. Price increase
. Not the most energetic ride",87 Great!,"₩308,470",Daily running,133 SA,54.80%,0.44,Neutral,293g,289g,N,10.3 mm,10.0 mm,Heel,Slightly small,30.0 AC,33%,3/5,4/5,0.5 mm,5/5,96.3 mm,73.7 mm,15.0N,4/5,3/5,N,N,38.5 mm,38.0 mm,28.2 mm,28.0 mm,Normal/Wide/X-Wide,Y,Summer/All seasons,Y,#152Top 40%,#12Top 4%

18,Nike Zoom Fly 6,https://runrepeat.com/nike-zoom-fly-6,"We were impressed by how the Zoom Fly 6 addressed the shortcomings of its predecessor. With energetic ZoomX foam, a carbon plate, and a lighter build, it performed wonderfully in our lab. In our experience, its fantastic durability and versatility make it a true super trainer at a fair price. While the snug toebox and narrow dimensions may not suit everyone, we believe this version successfully puts the series back on track.","The Zoom Fly is back!
. Fairly priced
. Versatile, performance-ready supertrainer
. Reasonable weight
. Can handle all paces
. Comfortable upper
. Outstanding durability
. Amazing for tempo and marathon workouts","Toebox is narrow and restrictive
. SR-02 foam lacks bounce
. Could be more stable",91 Superb!,"₩291,330",Tempo,144 SA,61.00%,0.42,Neutral,248g,244g,Y,9.6 mm,8.0 mm,HeelMid/forefoot,True to size,36.5 AC,6%,5/5,5/5,0.8 mm,3/5,90.9 mm,72.6 mm,21.5N,5/5,4/5,Carbon plate,Y,39.7 mm,40.0 mm,30.1 mm,32.0 mm,Normal/Wide,Y,All seasons,Y,#24Top 7%,#25Top 7%

19,ASICS Superblast 2,https://runrepeat.com/asics-superblast-2,"If budget isn't a barrier, we're confident in declaring the ASICS Superblast 2 the ultimate training shoe, and we think it even doubles as an exceptional racer for most. With a world-class midsole, a significantly improved upper, a more effective outsole, and all the cherished features of its predecessor preserved, this shoe excels in speed, cushioning, and versatility. And although it's not the most accommodating for wider feet and has seen a minor increase in weight, we believe that ASICS has surpassed expectations with this update, delivering an exceptional running shoe.","Fantastic new upper
. Improved overall comfort
. Grippier outsole without cutouts
. Durability enhancements
. Excellent weight/cushioning ratio
. Supreme stability
. Works at every pace and distance","Slight weight gain
. Fit remains tight
. Minimal tongue padding
. Energy return is not on par with the price",90 Superb!,"₩376,860",Daily running/Tempo,130 SA,65.40%,0.83,Neutral,252g,250g,N,8.2 mm,8.0 mm,HeelMid/forefoot,True to size,35.2 AC,8%,4/5,4/5,0.5 mm,5/5,94.7 mm,72.3 mm,18.4N,5/5,3/5,N,Y,42.8 mm,45.0 mm,34.6 mm,37.0 mm,Normal/Wide,Y,Summer/All seasons,Y,#72Top 19%,#23Top 6%

20,Hoka Mach 6,https://runrepeat.com/hoka-mach-6,"The Hoka Mach 6 marks a stellar leap from v5, ticking off all our boxes for improvement. We were delighted to find it not just light and grippy, but also versatile and comfortable—though it still caters more to runners with narrower feet. We really liked how it effortlessly handles various paces and distances, performing admirably across the board. For us, it's a well-rounded upgrade that meets the mark of an excellent daily trainer.","Really lightweight
. Fantastic outsole
. Exciting ride
. Highly cushioned
. Great for heel strikers
. Handles faster paces
. Superb lockdown
. Excellent value at $140","Drop varies from stated
. Tapered toebox
. Thin tongue",87 Great!,"₩274,200",Daily running,135 SA,65.40%,0.49,Neutral,232g,235g,Y,9.6 mm,5.0 mm,HeelMid/forefoot,True to size,39.5 AC,42%,2/5,1/5,0.6 mm,5/5,95.5 mm,70.1 mm,13.7N,4/5,4/5,N,Y,36.0 mm,37.0 mm,26.4 mm,32.0 mm,Normal/Wide,Y,Summer/All seasons,Y,#169Top 44%,#14Top 4%

21,On Cloudmonster,https://runrepeat.com/on-cloudmonster,"The On Cloudmonster is the brand's max-cushioned running shoe that blew our minds. From firm to forgiving, it's a new take that we are confident is perfect for daily training and long runs. True to its name, it has a monstrous amount of foam that keeps our feet protected and comfy all day. So much so that we can take it out on our walks as well.","All-day comfort
. Smooth heel-to-toe transitions
. Protective for long runs
. Stable when cornering
. Weighs less than it looks
. Can work on light trails
. Perfect lockdown
. Durable
. Sustainable upper","Firm for recovery days
. Not for wide feet
. Expensive
. Lacks bounce",91 Superb!,$170,Daily running,135 SA,57.00%,0.46,Neutral,280g,274g,N,6.8 mm,6.0 mm,Mid/forefoot,Slightly small,47.5 AC,37%,‐,‐,‐,5/5,91.9 mm,‐,17.0N,3/5,1/5,N,Y,34.9 mm,30.0 mm,28.1 mm,24.0 mm,Normal/,Y,Summer/All seasons,Y,#54Top 8%,#41Top 6%

22,ASICS Gel Nimbus 27,https://runrepeat.com/asics-gel-nimbus-27,"ASICS revamped the Nimbus series with the 25th edition, and by the 27th, it’s all about refinement. In our lab tests, we found it remains a high-cushioned daily trainer made for comfort-focused runners. Its ultra-thick midsole provides a stable, shock-absorbing ride, but the bottom-heavy feel and firmer foam may not appeal to everyone. In our view, it’s still best suited for easy miles, lacking the versatility for varied paces. And while the price increase isn’t drastic, it might not sit well with regular Nimbus buyers.","Even more foam underfoot!
. Premium-feel, breathable upper
. Fantastic stability
. Improved toebox with extra wiggle room
. Flexible knit tongue
. True maximalist comfort for recovery runs
. Amazing heel lockdown
. Top-tier grip","Feels bulky and heavy
. Minor price increase
. Lacks energy return",86 Good!,"₩342,750",Daily running,136 SA,47.70%,0.84,Neutral,299g,305g,N,8.3 mm,8.0 mm,HeelMid/forefoot,True to size,39.3 AC,19%,3/5,5/5,0.8 mm,4/5,97.0 mm,73.8 mm,20.2N,5/5,4/5,N,Y,42.7 mm,44.0 mm,34.4 mm,36.0 mm,Normal/Wide/X-Wide,Y,All seasons,Y,#384Bottom 45%,#18Top 3%

23,Adidas Adizero Adios Pro 4,https://runrepeat.com/adidas-adizero-adios-pro-4,"Adidas took what felt like an eternity to release the Adios Pro 4, but in our experience, the wait was absolutely worth it. The AP4 offers enhanced energy return, a lighter construction, and plush foam that feels incredible underfoot. However, it now features a narrower toebox that reduces comfort for wider feet, and we also believe heel strikers will find the lack of rear stability too uncomfortable. And while it may resemble its predecessor, we found it to be a completely different beast—designed for speed but less forgiving for casual racers.","Softer, bouncier Lightstrike Pro foam
. Maintains the same price
. No more heel slippage
. Versatile from 5K to marathon distances
. Durable outsole with outstanding grip
. Fantastic for midfoot and forefoot strikers
. Improved for faster runners
. Comfortable, gusseted tongue
. Lighter than Adios Pro 3","Unstable for every heel striker
. Narrow, tapered toebox
. Upper lacks breathability
. Midsole loses bounce quicker than AP3",93 Superb!,"₩428,430",Competition,142 SA,80.40%,0.55,Neutral,200g,201g,Y,8.1 mm,6.0 mm,Mid/forefoot,Slightly small,29.3 AC,7%,1/5,5/5,0.8 mm,2/5,93.2 mm,69.5 mm,22.7N,4/5,1/5,Carbon plate,Y,36.6 mm,39.0 mm,28.5 mm,33.0 mm,Normal/Wide,Y,All seasons,Y,#3Top 1%,#51Top 14%

24,Nike Alphafly 3,https://runrepeat.com/nike-alphafly-3,"In our view, the Alphafly 3 elevates the concept of a marathon super shoe, blending the best elements of previous models with groundbreaking enhancements. In our lab, we discovered that the synergy of the ultra-responsive foam, carbon-fiber plate, and Air Pods delivers unparalleled energy return. The debut of a new upper and a long-awaited continuous midsole also amazed us. And despite its steep $285 price tag, the enhanced arch fit convinces us it's an excellent choice for those chasing peak performance.","Remarkably lightweight despite its broad size
. Best-in-class breathability
. Excels in the marathon distance
. Repositioned Air Pods offer a better ride than the v2
. ZoomX foam delivers massive energy return
. Aids in forward momentum, especially when legs begin to fatigue
. Better than ever for 5K/10K racing
. Finally smooth transitions!","Heel strikers might wear down the outsole quickly
. The arch could still be a challenge for some
. The sock-like tongue might not suit everyone",88 Great!,"₩531,250",Competition,144 SA,74.90%,0.4,Neutral,201g,198g,Y,8.5 mm,8.0 mm,HeelMid/forefoot,Slightly small,34.5 AC,17%,1/5,5/5,3.2 mm,5/5,93.3 mm,75.3 mm,28.4N,4/5,1/5,Carbon plate,Y,38.1 mm,40.0 mm,29.6 mm,32.0 mm,Normal/,N,Summer/All seasons,N,#122Top 32%,#21Top 6%

25,Hoka Bondi 8,https://runrepeat.com/hoka-bondi-8,"The 8th iteration of the Hoka Bondi remains our beloved plush and cushy daily trainer that excels on easy days and recovery sessions. With its humongous foam, our feet found themselves in a very comfy position all throughout the run! On top of this, the shoe kept us surefooted thanks to its highly stable ride.","Oozing with comfort
. Gliding ride
. Feels stable
. Breathable
. Upper is soft as hell
. Highly durable","Tight midfoot
. Narrow toebox
. It's still heavy
. Lacks energy return",84 Good!,$165,Daily running,125 SA,51.00%,‐,Neutral,311g,311g,N,6.2 mm,4.0 mm,Mid/forefoot,True to size,41.5 AC,49%,‐,‐,‐,3/5,92.2 mm,69.2 mm,17.7N,4/5,3/5,N,Y,36.2 mm,39.0 mm,30.0 mm,35.0 mm,Normal/Wide,Y,All seasons,Y,#488Bottom 30%,#15Top 3%
