id,name,brand,price,cushion_level,stability,foot_type,usage,wide_fit,description,review_summary
hoka_mach_6,Hoka Mach 6,Hoka,274200,medium,neutral,['neutral'],['daily_run'],False,"The Hoka Mach 6 marks a stellar leap from v5, ticking off all our boxes for improvement. We were delighted to find it not just light and grippy, but also versatile and comfortable—though it still caters more to runners with narrower feet. We really liked how it effortlessly handles various paces and distances, performing admirably across the board. For us, it's a well-rounded upgrade that meets the mark of an excellent daily trainer.","{'pros': ['Really lightweight', 'Fantastic outsole', 'Exciting ride', 'Highly cushioned', 'Great for heel strikers', 'Handles faster paces', 'Superb lockdown', 'Excellent value at $140'], 'cons': ['Drop varies from stated', 'Tapered toebox', 'Thin tongue']}"
on_cloudmonster,On Cloudmonster,On,221000,medium,neutral,['neutral'],['daily_run'],False,"The On Cloudmonster is the brand's max-cushioned running shoe that blew our minds. From firm to forgiving, it's a new take that we are confident is perfect for daily training and long runs. True to its name, it has a monstrous amount of foam that keeps our feet protected and comfy all day. So much so that we can take it out on our walks as well.","{'pros': ['All-day comfort', 'Smooth heel-to-toe transitions', 'Protective for long runs', 'Stable when cornering', 'Weighs less than it looks', 'Can work on light trails', 'Perfect lockdown', 'Durable', 'Sustainable upper'], 'cons': ['Firm for recovery days', 'Not for wide feet', 'Expensive', 'Lacks bounce']}"
asics_gel_nimbus_27,ASICS Gel Nimbus 27,ASICS,342750,medium,neutral,['neutral'],['daily_run'],False,"The ASICS Nimbus 27 is a high-cushioned daily trainer designed for comfort-focused runners. It features an ultra-thick midsole that offers a stable, shock-absorbing ride, although its bottom-heavy feel and firmer foam may not appeal to everyone. Best suited for easy miles, it lacks versatility for varied paces. The shoe has a premium-feel, breathable upper, fantastic stability, an improved toebox with extra wiggle room, a flexible knit tongue, and top-tier grip, making it ideal for recovery runs. However, it feels bulky and heavy, has a minor price increase, and lacks energy return.",The ASICS Nimbus 27 excels in comfort and stability for easy runs but may not be suitable for all runners due to its bulkiness and limited versatility.
adidas_adizero_adios_pro_4,Adidas Adizero Adios Pro 4,Adidas,428430,medium,neutral,['neutral'],['daily_run'],False,"The Adidas Adios Pro 4 features enhanced energy return, a lighter construction, and plush Lightstrike Pro foam for an incredible underfoot feel. It is designed for speed, making it versatile for distances from 5K to marathons, but it has a narrower toebox that may reduce comfort for wider feet and lacks rear stability for heel strikers.","The Adios Pro 4 is a significant upgrade for faster runners, offering a softer and bouncier foam, improved grip, and a lighter design, but it may not be suitable for heel strikers or those with wider feet."
nike_alphafly_3,Nike Alphafly 3,Nike,531250,medium,neutral,['neutral'],['daily_run'],False,"The Alphafly 3 elevates the concept of a marathon super shoe, blending the best elements of previous models with groundbreaking enhancements. The synergy of the ultra-responsive foam, carbon-fiber plate, and Air Pods delivers unparalleled energy return. The debut of a new upper and a long-awaited continuous midsole adds to its appeal, making it an excellent choice for those chasing peak performance despite its steep $285 price tag.","{'pros': ['Remarkably lightweight despite its broad size', 'Best-in-class breathability', 'Excels in the marathon distance', 'Repositioned Air Pods offer a better ride than the v2', 'ZoomX foam delivers massive energy return', 'Aids in forward momentum, especially when legs begin to fatigue', 'Better than ever for 5K/10K racing', 'Finally smooth transitions!'], 'cons': ['Heel strikers might wear down the outsole quickly', 'The arch could still be a challenge for some', 'The sock-like tongue might not suit everyone']}"
hoka_bondi_8,Hoka Bondi 8,Hoka,214500,medium,neutral,['neutral'],['daily_run'],False,"The 8th iteration of the Hoka Bondi remains our beloved plush and cushy daily trainer that excels on easy days and recovery sessions. With its humongous foam, our feet found themselves in a very comfy position all throughout the run! On top of this, the shoe kept us surefooted thanks to its highly stable ride.","{'pros': ['Oozing with comfort', 'Gliding ride', 'Feels stable', 'Breathable', 'Upper is soft as hell', 'Highly durable'], 'cons': ['Tight midfoot', 'Narrow toebox', ""It's still heavy"", 'Lacks energy return']}"
new_balance_fuelcell_rebel_v5,New Balance FuelCell Rebel v5,New Balance,274200,medium,neutral,['neutral'],['daily_run'],False,"The Rebel v5 is a strong upgrade that addresses the major flaws of version 4 while maintaining the same price. It features plush Cloud-soft FuelCell foam, a lightweight build, and a flexible design. The shoe offers improved shock absorption, a smooth heel collar, and a roomy toebox, making it suitable for easy runs and tempo sessions, especially for midfoot strikers. However, it runs warm in hot weather, has concerns regarding upper durability, and could improve in traction.","The Rebel v5 successfully enhances the previous version with better comfort and performance, though it still faces issues with airflow and durability."
new_balance_fuelcell_supercomp_elite_v5,New Balance FuelCell SuperComp Elite v5,New Balance,479840,medium,neutral,['neutral'],['daily_run'],False,"The FuelCell SuperComp Elite v5 from New Balance is a lightweight and fast running shoe that offers improved lockdown and grip. It features a roomy toebox, a maxed-out heel stack, and a redesigned plate curvature for faster transitions. The premium, breathable upper addresses previous issues from the v4 model, making it a comfortable option for runners.","While the Elite v5 shows significant improvements in performance and comfort, it still falls short of being a top contender in the super shoe category due to its narrow heel and high drop."
on_cloudmonster_2,On Cloudmonster 2,On,325610,medium,neutral,['neutral'],['daily_run'],False,"The On Cloudmonster 2 is a stylish running shoe that combines high-end materials with a spacious upper and a dynamic, stable ride. It excels in long runs and is particularly suited for midfoot strikers, offering solid stability and enhanced cushioning compared to its predecessor. However, it has some drawbacks, including limited breathability, a less cushioned tongue, and a need for reduced weight and improved energy return.","The On Cloudmonster 2 is a reliable and fun shoe for a variety of runners, justifying its premium price with quality construction and performance, despite some areas for improvement."
puma_velocity_nitro_4,PUMA Velocity Nitro 4,PUMA,182000,medium,neutral,['neutral'],['daily_run'],False,"The PUMA Velocity Nitro 4 offers an impressive energy return and a lightweight feel, making it a fun and agile choice for daily training. Its PumaGrip outsole provides superior traction, and it handles tempo efforts with ease. The shoe features a flexible and comfortable design, with a natural-feeling, non-rockered profile and balanced cushioning that allows for some ground feel. However, it may not be the best option for long distances, and the fit tends to be on the narrow side. Additionally, the midsole can become firmer in cold conditions, and there is a slight price increase compared to previous models.","The PUMA Velocity Nitro 4 is an impressive daily trainer with excellent energy return and traction, though it may not be suitable for long runs due to its snug fit and midsole firmness in cold weather."
brooks_ghost_max_2,Brooks Ghost Max 2,Brooks,274200,medium,neutral,['neutral'],['daily_run'],False,"The Brooks Ghost Max 2 is a maximalist running shoe that offers impressive stability and enhanced energy return. It features a breathable upper and a durable outsole that grips well even on wet surfaces. While it excels at easy paces and is suitable for long runs, it is somewhat clunky for heel strikers and has a firmer midsole that could benefit from softer foam. Its heavier build may not appeal to everyone, but it serves as a reliable option for beginners and casual joggers.","The Brooks Ghost Max 2 is a solid choice for those seeking a dependable running shoe with great value, though it has some drawbacks like a firmer midsole and heavier weight."
